topology_relationship_id	topology_build_id	relationship_family_id	topology_dimension	relationship_kind	derivation_basis	relationship_scope	relationship_classification	grouping_key	grouping_value	source_table	source_assertion_id_summary	source_identity_set_id_summary	member_count	basis_component_count	input_corpus_generation_id	source_identity_expansion_status	statistical_testing_status	namespace_mediation_status	validation_status
topology_rel_0520108966992c391978a62f	mark_phase4_corpus_6tep_v1_topology_build_v1	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	identity_kind=provenance|participant_role=provenance|source_namespace=gsc_provenance_id	identity_kind=provenance|participant_role=provenance|source_namespace=gsc_provenance_id	assertion_record_source_identity_sets	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf|ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13|ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151|ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388|ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89|ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	sis_1898bee5eac62c0592ad49d1|sis_3e4e7be8494c9a9d8388f9bc|sis_7cedbc5eee250127972189c9|sis_a81a34dfa1291e854f5aa725|sis_b488b0e7a24b8aa20a4c09c4|sis_c020e29e67e52835e36cc5bf	6	9	mark_phase4_corpus_6tep_v1	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	passed
topology_rel_05df66ae7d19f0a6522d4be6	mark_phase4_corpus_6tep_v1_topology_build_v1	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	validation_status=deferred	deferred	downstream_topology_input_manifest	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3|ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85|ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972|ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029|ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83|ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232|ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2|ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f|ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b|ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a|ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2|ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc		12	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_103f95022b01c3da86a623d1	mark_phase4_corpus_6tep_v1_topology_build_v1	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	validation_status=supported	supported	downstream_topology_input_manifest	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808|ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9|ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf|ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a|ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13|ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c|ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151|ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68|ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1|ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1|ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7|ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665|ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03|ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349|ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723|ar_b0fd3e7e6bb37d97f7629cbb0dd031b3bb12adfa910496b94ac2ddafa5c3d13b|ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89|ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198|ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf|ar_c53698934cce02719df0f674c9dccfc22b9d5c7f308082713f8fbfab5bd31c7f|ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353|ar_cbd3e38ed96d2c46e9aa0c9ef5405c31fbb27c2af9075268be2c3ff78787fe19|ar_cbf12ec6a12eb2b299b95f205deb5d22bfcdf06072e6c6a2f97a722a64ffcedc|ar_e1588489412735edc70d5e2d3c6f31f136571c49fc368a13f73af55631a23ea9|ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8|ar_fe242a404011f9fc256699c453053410345b009bbbd9b59856df5f9a5265c7a7		26	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_12d1a5beed9c71a4b40b44b8	mark_phase4_corpus_6tep_v1_topology_build_v1	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	assertion_type=variant_prioritization	variant_prioritization	downstream_topology_input_manifest	ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa|ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238|ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f|ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98		4	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_15a1ef5820d122670acca282	mark_phase4_corpus_6tep_v1_topology_build_v1	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	resolver_status=deferred	deferred	downstream_topology_input_manifest	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3|ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85|ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972|ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029|ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83|ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232|ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2|ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f|ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b|ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a|ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2|ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc		12	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_1703a748aeeadc19ef28f88a	mark_phase4_corpus_6tep_v1_topology_build_v1	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	assertion_type=candidate_routing	candidate_routing	downstream_topology_input_manifest	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3|ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85|ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972|ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029|ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83|ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232|ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2|ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f|ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b|ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a|ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2|ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc		12	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_1b9fe885b0b96589c1df4a99	mark_phase4_corpus_6tep_v1_topology_build_v1	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	assertion_type=phenotype_gene_semantic_prior	phenotype_gene_semantic_prior	downstream_topology_input_manifest	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf|ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151		2	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_1fe23d575e6fbf50274ec0bd	mark_phase4_corpus_6tep_v1_topology_build_v1	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	relationship_class=variant_interpretation	variant_interpretation	downstream_topology_input_manifest	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808|ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1|ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7|ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03|ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723|ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198|ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353|ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8		8	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_21ac1e670d48aa86931dfb22	mark_phase4_corpus_6tep_v1_topology_build_v1	corpus_metadata_membership	corpus_generation	corpus_metadata_membership	shared_corpus_generation	metadata	metadata_level_topology	corpus_generation_id=mark_phase4_corpus_6tep_v1	mark_phase4_corpus_6tep_v1	downstream_topology_input_manifest	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808|ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9|ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3|ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf|ar_05b6316bc05adf9b3126193beb3dc4b41a1a0fa106db129efceda03fc7270d79|ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85|ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a|ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972|ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13|ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029|ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c|ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83|ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa|ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232|ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151|ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349|ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68|ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb|ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238|ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1|ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1|ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7|ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665|ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2|ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388|ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03|ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f|ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349|ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f|ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723|ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b|ar_b0fd3e7e6bb37d97f7629cbb0dd031b3bb12adfa910496b94ac2ddafa5c3d13b|ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89|ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198|ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3|ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf|ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d|ar_c53698934cce02719df0f674c9dccfc22b9d5c7f308082713f8fbfab5bd31c7f|ar_c63b14c4b7575036440ac7af8e08fc22388c9e4290cbbcf2b8dcccb1f9452de8|ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353|ar_cbd3e38ed96d2c46e9aa0c9ef5405c31fbb27c2af9075268be2c3ff78787fe19|ar_cbf12ec6a12eb2b299b95f205deb5d22bfcdf06072e6c6a2f97a722a64ffcedc|ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98|ar_e06553097cd6e48f9e81d0f4d369960d0fb776c4a77b2207df990475628d10d3|ar_e1588489412735edc70d5e2d3c6f31f136571c49fc368a13f73af55631a23ea9|ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a|ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2|ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc|ar_f660a413440f9a43d96b4211b92d15c2a5bb682ce342be73b39982cc6342b573|ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8|ar_fccad91cc8c6d833f77ebfef48c19f89ac4a515c7e4592a4c9a1486a8498289b|ar_fe242a404011f9fc256699c453053410345b009bbbd9b59856df5f9a5265c7a7		52	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
topology_rel_22c0fbf11476fa1e22e5a02e	mark_phase4_corpus_6tep_v1_topology_build_v1	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	resolver_status=indexed_with_note	indexed_with_note	downstream_topology_input_manifest	ar_05b6316bc05adf9b3126193beb3dc4b41a1a0fa106db129efceda03fc7270d79|ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa|ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349|ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb|ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238|ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388|ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f|ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3|ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d|ar_c63b14c4b7575036440ac7af8e08fc22388c9e4290cbbcf2b8dcccb1f9452de8|ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98|ar_e06553097cd6e48f9e81d0f4d369960d0fb776c4a77b2207df990475628d10d3|ar_f660a413440f9a43d96b4211b92d15c2a5bb682ce342be73b39982cc6342b573|ar_fccad91cc8c6d833f77ebfef48c19f89ac4a515c7e4592a4c9a1486a8498289b		14	1	mark_phase4_corpus_6tep_v1	not_required	not_statistical_input	not_applicable	passed
