topology_build_id	topology_relationship_id	relationship_family_id	topology_dimension	relationship_kind	derivation_basis	relationship_scope	relationship_classification	member_count	basis_component_count	source_identity_expansion_status	statistical_testing_status	namespace_mediation_status	input_corpus_generation_id	geometry_input_status	geometry_boundary_note
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_0520108966992c391978a62f	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	6	9	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_05df66ae7d19f0a6522d4be6	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_103f95022b01c3da86a623d1	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	26	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_12d1a5beed9c71a4b40b44b8	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_15a1ef5820d122670acca282	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1703a748aeeadc19ef28f88a	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1b9fe885b0b96589c1df4a99	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1fe23d575e6fbf50274ec0bd	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	8	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_21ac1e670d48aa86931dfb22	corpus_metadata_membership	corpus_generation	corpus_metadata_membership	shared_corpus_generation	metadata	metadata_level_topology	52	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_22c0fbf11476fa1e22e5a02e	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	14	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
