check_id	validation_group	status	message	expected	observed	earliest_gap_stage	recommended_fix_layer
artifact_assertion_index_present	artifact_presence	passed	Assertion Record index is present and nonempty.	>0	52	phase4_3_assertion_records	assertion_record_emission
artifact_source_identity_sets_present	artifact_presence	passed	Assertion Record Source Identity Sets are present and nonempty.	>0	204	phase4_3_assertion_records	assertion_record_source_identity_set_emission
artifact_topology_expansion_present	artifact_presence	passed	Topology Source Identity expansion index is present and nonempty.	>0	816	phase4_4_evidence_topology	evidence_topology_output_emission
participant_assertion_refs_valid	join_integrity	passed	Participant assertion_id references resolve to assertion_record_index.	0	0	phase4_3_assertion_records	assertion_record_participant_projection
source_identity_set_assertion_refs_valid	join_integrity	passed	Source Identity Set assertion_id references resolve to assertion_record_index.	0	0	phase4_3_assertion_records	assertion_record_source_identity_set_projection
source_identity_summary_refs_valid	join_integrity	passed	Source identity summary source_identity_set_id references resolve to Source Identity Sets.	0	0	phase4_3_assertion_records	assertion_record_source_identity_summary
topology_member_relationship_refs_valid	join_integrity	passed	Topology member relationship references resolve to topology_relationships.	0	0	phase4_4_evidence_topology	evidence_topology_member_emission
topology_basis_relationship_refs_valid	join_integrity	passed	Topology basis relationship references resolve to topology_relationships.	0	0	phase4_4_evidence_topology	evidence_topology_basis_emission
expansion_relationship_refs_valid	join_integrity	passed	Expansion index relationship references resolve to topology_relationships.	0	0	phase4_4_evidence_topology	evidence_topology_expansion_index_emission
expansion_source_identity_set_refs_valid	join_integrity	passed	Expansion index source_identity_set_id references resolve to Assertion Record Source Identity Sets.	0	0	phase4_4_evidence_topology	evidence_topology_expansion_index_emission
source_identity_set_required_fields_nonempty	handle_preservation	passed	Required Source Identity Set handle fields are nonempty.	all required fields nonempty	"{""assertion_id"": 0, ""identity_kind"": 0, ""lossiness_status"": 0, ""participant_role"": 0, ""resolution_status"": 0, ""source_assertion_registration_id"": 0, ""source_identity_count"": 0, ""source_identity_set_id"": 0, ""source_identity_set_status"": 0, ""source_namespace"": 0}"	phase4_3_assertion_records	assertion_record_source_identity_set_emission
expansion_required_fields_nonempty	handle_preservation	passed	Required topology expansion handle fields are nonempty.	all required fields nonempty	"{""assertion_id"": 0, ""identity_kind"": 0, ""lossiness_status"": 0, ""participant_role"": 0, ""registration_unit_id"": 0, ""resolution_status"": 0, ""source_assertion_registration_id"": 0, ""source_identity_count"": 0, ""source_identity_expansion_status"": 0, ""source_identity_set_id"": 0, ""source_identity_set_status"": 0, ""source_namespace"": 0, ""statistical_testing_status"": 0, ""validation_status"": 0}"	phase4_4_evidence_topology	evidence_topology_expansion_index_emission
expansion_unique_source_identity_sets_preserved	handle_preservation	passed	Expansion index represents the same unique Source Identity Sets as Assertion Records.	204	204	phase4_4_evidence_topology	evidence_topology_expansion_index_emission
expansion_unique_represented_source_identity_count	handle_preservation	passed	Expansion index preserves represented source identity count by unique Source Identity Set handle.	>0	147941196	phase4_4_evidence_topology	evidence_topology_expansion_index_emission
coordinate_or_variant_route_observed	route_inventory	passed	At least one coordinate/variant route Source Identity Set is observed in compact Assertion Records.	>0	40	phase4_3_assertion_records	namespace_route_classification_or_upstream_ingestion
gene_route_observed	route_inventory	passed	At least one gene route Source Identity Set is observed in compact Assertion Records.	>0	102	phase4_3_assertion_records	namespace_route_classification_or_upstream_ingestion
producer_or_context_route_observed	route_inventory	passed	At least one producer/context route Source Identity Set is observed in compact Assertion Records.	>0	62	phase4_3_assertion_records	namespace_route_classification_or_upstream_ingestion
namespace_mediation_no_unsupported_canonical_ids	namespace_mediation_boundary	passed	Tier 1 expects no unsupported canonical_identity_id in conservative topology outputs.	0	0	phase4_4_evidence_topology	namespace_mediation_policy_or_topology_output
namespace_mediation_no_unsupported_bridge_ids	namespace_mediation_boundary	passed	Tier 1 expects no unsupported namespace_bridge_id in conservative topology outputs.	0	0	phase4_4_evidence_topology	namespace_mediation_policy_or_topology_output
