stage	artifact_role	artifact_path	exists	row_count	column_count	columns	sha256	audit_status
phase4_2_corpus_generation	corpus_selection_manifest	docs/manifests/corpus_generation/mark_phase4_corpus_6tep_v1_selection_manifest.tsv	true	6	19	corpus_generation_id,registration_unit_label,registration_unit_reference,registration_unit_path,registration_unit_sqlite_path,expected_registration_unit_id,expected_producer_family,expected_registration_unit_validation_status,expected_registration_unit_certification_status,expected_registration_unit_readiness_status,expected_backend,registration_unit_inventory_record_reference,registration_unit_readiness_record_reference,phase4_1_validation_receipt_reference,inclusion_status,inclusion_rationale,exclusion_status,exclusion_rationale,notes	ee7f268c0a3f748951edb80813582966d5f84138f6fd726b692582786b7a3456	present
phase4_3_assertion_records	assertion_record_index	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_index.tsv	true	52	16	assertion_id,source_assertion_key,corpus_generation_id,registration_unit_id,producer_family,source_package_id,source_artifact_id,source_assertion_registration_id,assertion_type,relationship_class,preservation_status,resolver_status,validation_status,source_identity_set_status,authority_context,uncertainty_context	d9b83552f6ae72a89ebae3a6606ab57fa6e768ad1d55fd269ee884ae78cb483a	present
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	true	204	10	assertion_id,source_assertion_registration_id,participant_role,participant_value,participant_source,source_identity_set_id,participant_identity_kind,participant_source_namespace,participant_count,participant_resolution_status	1eeca98e1613793765110c65b19f3d5fb6b3c0b0c1d16a06a10f4f96fb109e27	present
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	true	204	13	source_identity_set_id,assertion_id,source_assertion_registration_id,source_identity_table_reference,source_identity_filter,identity_kind,participant_role,source_namespace,source_identity_count,lossiness_status,resolution_status,validation_status,source_identity_set_status	cf37fa9e2d9b092e2e651dea9cb6b03800798aa594408778ac8e47f32c399579	present
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	true	204	8	source_identity_set_id,assertion_id,source_assertion_registration_id,registration_unit_id,identity_kind,participant_role,source_namespace,source_identity_count	796f41e8fc3f11f94bb52fbc6f319b0ddc1878ff42e55e496abc8a58928078fb	present
phase4_4_evidence_topology	topology_relationships	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_relationships.tsv	true	54	20	topology_relationship_id,topology_build_id,relationship_family_id,topology_dimension,relationship_kind,derivation_basis,relationship_scope,relationship_classification,grouping_key,grouping_value,source_table,source_assertion_id_summary,source_identity_set_id_summary,member_count,basis_component_count,input_corpus_generation_id,source_identity_expansion_status,statistical_testing_status,namespace_mediation_status,validation_status	b0afc24e9b6d1aa659110ef3eecc136678c5d978849b8e94ec628910dc75ec32	present
phase4_4_evidence_topology	topology_relationship_members	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_relationship_members.tsv	true	1232	10	topology_relationship_id,member_id,member_type,member_role,member_reference,source_assertion_id,source_identity_set_id,source_registration_unit_id,source_corpus_generation_id,validation_status	2a3d0a13aaee78e1166235da86acd91f656c748c67224af78972bf5aa8362a14	present
phase4_4_evidence_topology	topology_basis_components	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_basis_components.tsv	true	892	16	topology_relationship_id,basis_component_id,basis_component_type,basis_component_role,basis_component_value,basis_component_reference,basis_component_namespace,source_assertion_id,source_identity_set_id,source_registration_unit_id,source_corpus_generation_id,resolution_status,ambiguity_status,conflict_status,lossiness_status,validation_status	6c3d268768e0bc211ad5d4f16acac45abca8716b874f3280ce006a63b92ce78e	present
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	true	816	16	topology_build_id,topology_relationship_id,source_identity_set_id,assertion_id,source_assertion_registration_id,registration_unit_id,identity_kind,participant_role,source_namespace,source_identity_count,lossiness_status,resolution_status,source_identity_set_status,source_identity_expansion_status,statistical_testing_status,validation_status	4da56a8f161ad4a092de3a564608e956bb0823fb24f571ff3108a0c86fe58e9c	present
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	true	11	10	topology_build_id,topology_relationship_id,relationship_family_id,namespace_mediation_status,match_type,source_namespace_summary,canonical_identity_id,namespace_bridge_id,namespace_policy_status,validation_status	1f631c87c0cb31ad446b3b3611e7b24e8c4705015cb182907c6fc53b9066f1f2	present
phase4_4_evidence_topology	downstream_geometry_input_manifest	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/downstream_geometry_input_manifest.tsv	true	54	16	topology_build_id,topology_relationship_id,relationship_family_id,topology_dimension,relationship_kind,derivation_basis,relationship_scope,relationship_classification,member_count,basis_component_count,source_identity_expansion_status,statistical_testing_status,namespace_mediation_status,input_corpus_generation_id,geometry_input_status,geometry_boundary_note	852f6ac96e3fd842ec799501ec465fa040ba588d9ed31bc740b858b49aa2fb7c	present
